,Rotten Tomatoes' Top 100,Film,Year
0,6,Parasite,2019
1,unranked,Lord of the Rings: The Fellowship of the Ring,2001
2,7,Avengers: Endgame,2019
3,19,Spider-Man: Into the Spider-verse,2018
4,unranked,The Dark Knight,2008
5,18,Mad Max: Fury Road,2015
6,unranked,Inception,2010
7,unranked,Lord of the Rings: Return of the King,2003
8,unranked,Lord of the Rings: The Two Towers,2002
9,unranked,Interstellar,2014
10,unranked,Avengers: Infinity War,2018
11,unranked,Gladiator,2000
12,15,Get Out,2017
13,20,Moonlight,2016
14,unranked,Spirited Away,2001
15,12,Lady Bird,2017
16,5,Black Panther,2018
17,unranked,Whiplash,2014
18,unranked,Mulholland Drive,2001
19,unranked,In the Mood for Love,2000
20,29,A Quiet Place,2018
21,37,Coco,2017
22,34,Logan,2017
23,42,Thor: Ragnarok,2017
24,unranked,Eternal Sunshine of the Spotless Mind,2004
